"","CountryID","Country.Name","WEBNAME","Region","World.Rank","Region.Rank","X2014.Score","Change.in.Yearly.Score.from.2013","Property.Rights","Change.in.Property.Rights.from.2013","Freedom.from.Corruption","Change.in.Freedom.from.Corruption.from.2013","Fiscal.Freedom.","Change.in.Fiscal.Freedom.from.2013","Gov.t.Spending","Change.in.Gov.t.Spending.from.2013","Business.Freedom","Change.in.Business.Freedom.from.2013","Labor.Freedom","Change.in.Labor.Freedom.from.2013","Monetary.Freedom","Change.in.Monetary.Freedom.from.2013","Trade.Freedom","Change.in.Trade.Freedom.from.2013","Investment.Freedom.","Change.in.Investment.Freedom.from.2013","Financial.Freedom","Change.in.Financial.Freedom.from.2013","Tariff.Rate....","Income.Tax.Rate....","Corporate.Tax.Rate....","Tax.Burden...of.GDP","Gov.t.Expenditure...of.GDP.","Country","Population..Millions.","GDP..Billions..PPP.","GDP.Growth.Rate....","X5.Year.GDP.Growth.Rate....","GDP.per.Capita..PPP.","Unemployment....","Inflation....","FDI.Inflow..Millions.","Public.Debt....of.GDP."
"52",52,"Equatorial Guinea","EquatorialGuinea","Sub-Saharan Africa","168","42","44,4","2,1","10","-5,0","16,6","-2,4","75,5","0,1","62,6","23,3","43,4","-1,0","41,5","-1,6","75,4","2,6","53,8","-5,0","35","10,0","30","0,0","15,6","35,0","35,0","1,5","35,3","Equatorial Guinea","0,7","$19,3","2,0","2,7","$25.929","22,3","5,5","2.115,1","8,2"
"53",53,"Eritrea","Eritrea","Sub-Saharan Africa","174","45","38,5","2,2","10","0,0","22,9","-2,1","57,0","0,0","66,1","11,5","18,6","1,3","63,6","9,0","57,6","2,1","69,1","0,0","0","0,0","20","0,0","5,4","30,0","30,0","50,0","33,6","Eritrea","5,7","$4,4","7,0","2,2","$777","N/A","12,3","73,7","125,8"
"54",54,"Estonia","Estonia","Europe","11","4","75,9","0,6","90","5,0","64,2","0,2","80,4","0,7","56,0","-0,2","77,6","-0,6","55,9","-0,1","76,9","-0,2","87,8","1,0","90","0,0","80","0,0","1,1","21,0","21,0","32,8","38,3 ","Estonia","1,3","$29,1","3,2","-1,0","$21.713","9,8","4,2","1.470,4","8,5"
"55",55,"Ethiopia","Ethiopia","Sub-Saharan Africa","151","35","50,0","0,6","30","0,0","27,0","0,0","77,5","3,3","89,9","0,3","57,8","5,4","54,7","7,8","59,0","-5,7","64,2","0,2","20","-5,0","20","0,0","10,4","35,0","30,0","11,3","18,4","Ethiopia","86,8","$103,3","7,0","8,7","$1.191","N/A","22,8","970,4","21,6"
"56",56,"Fiji","Fiji","Asia-Pacific","99","20","58,7","1,5","25","0,0","20,0","0,0","82,3","4,3","76,2","-1,8","64,9","-0,8","73,1","-1,8","75,2","2,4","70,2","2,2","50","10,0","50","0,0","9,9","29,0","20,0","23,0","28,2","Fiji","0,9","$4,3","2,1","0,8","$4.786","7,0","4,3","267,9","51,6"
"57",57,"Finland","Finland","Europe","19","9","73,4","-0,6","90","0,0","93,4","-0,6","65,1","-1,8","8,9","-3,3","93,6","-1,2","46,5","1,2","78,9","-0,6","87,8","1,0","90","0,0","80","0,0","1,1","31,8","24,5","43,4","55,1 ","Finland","5,4","$197,5","-0,2","-0,6","$36.395","7,7","3,2","-1.805,6","53,3"
"58",58,"France","France","Europe","70","33","63,5","-0,6","80","0,0","69,9","-0,1","48,4","-4,6","5,6","-0,0","79,9","-4,1","51,8","1,3","76,1","-5,0","82,8","1,0","70","5,0","70","0,0","1,1","45,0","34,3","44,2","56,1 ","France","63,4","$2.254,1","0,0","0,0","$35.548","10,2","2,0","25.093,3","90,3"
"59",59,"Gabon","Gabon","Sub-Saharan Africa","105","14","57,8","0,0","40","0,0","29,1","-0,9","74,5","0,3","81,7","1,6","58,9","2,4","63,0","-0,1","75,1","-2,4","61,0","-0,1","55","0,0","40","0,0","14,5","35,0","35,0","10,1","24,7","Gabon","1,5","$25,5","6,2","3,6","$16.548","21,0","3,0","702,4","22,0"
"60",60,"Gambia","Gambia","Sub-Saharan Africa","92","11","59,5","0,7","30","0,0","31,7","-3,3","79,0","3,9","79,8","-2,9","57,4","-2,1","65,8","6,5","71,3","0,2","65,0","4,5","65","0,0","50","0,0","12,5","30,0","32,0","13,2","26,0","The Gambia","1,8","$3,4","3,9","3,6","$1.864","N/A","4,6","78,8","77,2"
"61",61,"Georgia","Georgia","Europe","22","12","72,6","0,4","40","-5,0","42,8","1,8","87,3","-0,9","69,7","0,8","87,8","-2,8","91,2","0,1","78,4","5,8","88,6","-0,6","80","5,0","60","0,0","0,7","20,0","15,0","25,4","31,8","Georgia","4,5","$26,7","6,5","3,6","$5.930","14,6","-0,9","866,1","32,7"
